point_number,ICM_PC1_x_coefficient,ICM_x_intercept,ICM_PC1_y_coefficient,ICM_y_intercept,ICM_FEA_x,ICM_FEA_y,ICM_FEA_z,ICM_PC2_x_coefficient,ICM_PC2_y_coefficient
1,0.446205149,-8,0.039459618,10,-6.39726877,-34.672,-17.542,0.032658783,0.44905243
2,0.417170511,-7,0.005934183,7.5,-5.04027612,-33.755,-11.193,0.036829633,0.42269438
3,0.416550261,-6,-0.039907281,5,-5.68151146,-33.266,-5.494,0.037702769,0.403378953
4,0.40617395,-2,-0.033826504,1,-4.92321163,-36.345,1.028,0.040042755,0.387715568
5,0.370952832,0,-0.040441525,0,-4.60540577,-42.385,6.881,0.034098599,0.366225131
6,0.294299041,2,-0.06037515,1,-2.90886868,-48.409,11.603,0.002482643,0.316824491
7,0.207511108,6,-0.107190339,5,-2.02065635,-62.995,13.243,-0.024320566,0.254826457
8,4.14E-25,7,0,7.5,0,-68.5,28.2,0.00E+00,0
9,4.14E-25,8,0,10,0,-68.5,15.313,0.00E+00,0
